Ccode,Nation,Christianity,Judaism,Islam,Buddhism,Zoroastrian,Hindu,Sikh,Shinto,Bahai,Taoism,Jain,Confucianism,Syncretic,Animist,Non,Other,Major
712,MON,0.006814286,0,0.025992857,0.277871429,0,0,0,0,0,0,0,0,0.004178571,0.30235,0.370578571,0.012178571,Non
713,TAW,0.055138462,0,0.004146154,0.266753846,0,0,0,0,0.000353846,0.147315385,0,9.23E-05,0.493261538,0.003653846,0.025584615,0.003707692,Syncretic
731,PRK,0.018930769,0,1.54E-05,0.038261538,0,0,0,0,0,0,0,0.03,0.000246154,0.276238462,0.634584615,0.001723077,Non
732,ROK,0.207684615,0,0.000361538,0.192561538,0,0,0,0.0003,0.000446154,0,0,0.076553846,0.000492308,0.286161538,0.229107692,0.0063,Animist
740,JPN,0.024328571,0,0.000664286,0.7068,0,0.000121429,0,0.776485714,0.0001,0,0,0.000478571,0.000871429,4.29E-05,0.083821429,0,Shinto
750,IND,0.034392308,7.69E-06,0.120676923,0.007092308,0.000207692,0.778476923,0.018815385,0,0.001430769,0,0.004538462,0,0.0001,0.027169231,0.005738462,0.001330769,Hindu
760,BHU,0.00765,0,0.0170625,0.7734,0,0.1728625,0,0,0.0001625,0,0,0,0,0.0263125,0.0003875,0.0021875,Buddhism
770,PAK,0.020446154,0,0.942461538,0.001069231,8.46E-05,0.032323077,0.000307692,0,0.000330769,0,0,0,0,0.001030769,0.0005,0.001415385,Islam
771,BNG,0.0011,0,0.8824375,0.005625,0,0.1060875,2.50E-05,0,3.75E-05,0,0,0,0,0.0017875,0.0014625,0.001425,Islam
775,MYA,0.062630769,0,0.037023077,0.760392308,0,0.014615385,0.000176923,0,0.000784615,0,4.62E-05,0.004592308,0.002861538,0.113092308,0.003069231,0.000676923,Buddhism
780,SRI,0.081923077,0,0.077292308,0.683576923,8.46E-05,0.145930769,0.001530769,0,0.000507692,0,0,0,0,3.85E-05,0.006230769,0.002823077,Buddhism
781,MAD,0.0027,0,0.96915,0.00535,0,0.00036,0,0,0.00015,0,0,0,0,0,0.00011,0.02218,Islam
790,NEP,0.008514286,0,0.030821429,0.117614286,0,0.743135714,0.0001,0,0.000157143,0,0.000128571,0,0.000214286,0.093814286,0.002385714,0.003085714,Hindu
800,THI,0.011335714,0,0.049335714,0.8941,0,0.001642857,0.000314286,0,0.000471429,0,0,0.001185714,0.015878571,0.017557143,0.006542857,0.001621429,Buddhism
811,CAM,0.01155,0,0.024558333,0.884525,0,0.000758333,0,0,0.002491667,0,0,0,0.018766667,0.031033333,0.021733333,0.004558333,Buddhism
812,LAO,0.0226,0,0.005875,0.580183333,0,0.000366667,0,0,0.002241667,5.83E-05,0,0,0.006316667,0.351541667,0.028175,0.002625,Buddhism
816,DRV,0.07505,0,0.001258333,0.205,0,0.000375,0,0,0.006308333,0,0,0,0.023275,0.066508333,0.615558333,0.006675,Non
